warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9344 val_bpb:4.1069 train_time:0ms step_avg:0.02ms
step:740/20000 train_loss:2.2865 train_time:405842ms step_avg:548.44ms
step:750/20000 train_loss:2.3533 train_time:411325ms step_avg:548.43ms
step:760/20000 train_loss:2.3420 train_time:416809ms step_avg:548.43ms
step:770/20000 train_loss:2.3872 train_time:422292ms step_avg:548.43ms
step:780/20000 train_loss:2.4352 train_time:427777ms step_avg:548.43ms
step:790/20000 train_loss:2.3412 train_time:433259ms step_avg:548.43ms
step:800/20000 train_loss:2.3146 train_time:438743ms step_avg:548.43ms
step:810/20000 train_loss:2.4606 train_time:444227ms step_avg:548.43ms
step:820/20000 train_loss:2.3463 train_time:449712ms step_avg:548.43ms
step:830/20000 train_loss:2.3422 train_time:455196ms step_avg:548.43ms
step:840/20000 train_loss:2.4101 train_time:460680ms step_avg:548.43ms
step:850/20000 train_loss:2.5871 train_time:466164ms step_avg:548.43ms
step:860/20000 train_loss:2.3031 train_time:471648ms step_avg:548.43ms
step:870/20000 train_loss:2.3619 train_time:477132ms step_avg:548.43ms
step:880/20000 train_loss:2.3773 train_time:482616ms step_avg:548.43ms
step:890/20000 train_loss:2.3804 train_time:488100ms step_avg:548.43ms
step:900/20000 train_loss:2.3358 train_time:493583ms step_avg:548.43ms
step:910/20000 train_loss:2.3969 train_time:499067ms step_avg:548.42ms
step:920/20000 train_loss:2.2947 train_time:504550ms step_avg:548.42ms
step:930/20000 train_loss:2.5511 train_time:510035ms step_avg:548.42ms
step:940/20000 train_loss:2.3461 train_time:515519ms step_avg:548.42ms
step:950/20000 train_loss:2.3415 train_time:521003ms step_avg:548.42ms
step:960/20000 train_loss:2.3733 train_time:526487ms step_avg:548.42ms
step:970/20000 train_loss:2.3688 train_time:531971ms step_avg:548.42ms
step:980/20000 train_loss:2.3237 train_time:537456ms step_avg:548.42ms
step:990/20000 train_loss:2.3276 train_time:542939ms step_avg:548.42ms
step:1000/20000 train_loss:2.3755 train_time:548423ms step_avg:548.42ms
step:1000/20000 val_loss:2.3335 val_bpb:1.3820 train_time:548512ms step_avg:548.51ms
step:1010/20000 train_loss:2.3731 train_time:553907ms step_avg:548.42ms
step:1020/20000 train_loss:2.2753 train_time:559391ms step_avg:548.42ms
step:1030/20000 train_loss:2.3837 train_time:564877ms step_avg:548.42ms
step:1040/20000 train_loss:2.2817 train_time:570361ms step_avg:548.42ms
